cmap,color_space,num_seeds,mean_best_sigma_val,std_best_sigma_val,min_best_sigma_val,max_best_sigma_val,boxplot_path,paired_t_stat_vs_ref,paired_t_p_vs_ref,mannwhitney_u_vs_ref,mannwhitney_p_vs_ref
coolwarm,lab,50,0.09765013813941746,0.00017795884823758616,0.0971451394102809,0.0981141962352,experiments/full_all_jitter_seed/coolwarm_robustness_boxplot_50seeds.png,-678.0508778998919,5.388486164057212e-99,0.0,7.066071930388932e-18
coolwarm,oklab,50,0.14727253636382642,0.024713477091291514,0.10048641972664238,0.1922931035346398,experiments/full_all_jitter_seed/coolwarm_robustness_boxplot_50seeds.png,-22.319534580894324,2.5126749731737644e-27,0.0,7.066071930388932e-18
coolwarm,sucs,50,0.06938433124198957,0.00027696138905562,0.06885737224602276,0.07015361540208205,experiments/full_all_jitter_seed/coolwarm_robustness_boxplot_50seeds.png,nan,nan,nan,nan
coolwarm,jzazbz,50,0.43818265683301794,0.810522032697723,0.07865364033721065,3.410541178585404,experiments/full_all_jitter_seed/coolwarm_robustness_boxplot_50seeds.png,-3.217444619792373,0.002294341932465262,0.0,7.066071930388932e-18
bwr,lab,50,0.1778846322893214,0.00032721009537512477,0.17722681865257064,0.17880746244799336,experiments/full_all_jitter_seed/bwr_robustness_boxplot_50seeds.png,-91.66136827773207,1.8056711459821962e-56,0.0,7.066071930388932e-18
bwr,oklab,50,0.15796697891963304,0.023809603882514283,0.11537170777152592,0.20240890082689333,experiments/full_all_jitter_seed/bwr_robustness_boxplot_50seeds.png,-4.796140968288542,1.550686402199701e-05,624.0,1.6172272326684634e-05
bwr,sucs,50,0.14157024521457265,0.0028124271067533216,0.1354311494047664,0.1470903194436737,experiments/full_all_jitter_seed/bwr_robustness_boxplot_50seeds.png,nan,nan,nan,nan
bwr,jzazbz,50,0.4808732392947109,0.7685246722723517,0.11097095172638681,3.6992342602776094,experiments/full_all_jitter_seed/bwr_robustness_boxplot_50seeds.png,-3.123874352856159,0.0029953979229054104,580.0,3.923154832146049e-06
seismic,lab,50,0.29409586242361835,0.0036193255535321403,0.2773288155999395,0.2977901651187539,experiments/full_all_jitter_seed/seismic_robustness_boxplot_50seeds.png,-96.07536405695292,1.8247808713020765e-57,0.0,7.066071930388932e-18
seismic,oklab,50,0.23588597417040563,0.024547457824205594,0.18062570896071603,0.271335105296517,experiments/full_all_jitter_seed/seismic_robustness_boxplot_50seeds.png,2.45581847959235,0.0176495582347867,1500.0,0.08543097668983414
seismic,sucs,50,0.24441436183511164,0.0005321918404270798,0.24327756404606413,0.24589751132676366,experiments/full_all_jitter_seed/seismic_robustness_boxplot_50seeds.png,nan,nan,nan,nan
seismic,jzazbz,50,1.6661746058072482,0.9157223758264532,0.40084161662709933,4.204400777749527,experiments/full_all_jitter_seed/seismic_robustness_boxplot_50seeds.png,-10.976855079327722,8.33704728560173e-15,0.0,7.066071930388932e-18
RdBu,lab,50,0.098383929975065,0.0005042029614716313,0.09725386635921379,0.09941593535445187,experiments/full_all_jitter_seed/RdBu_robustness_boxplot_50seeds.png,-174.24373221134823,4.274714349561939e-70,0.0,7.066071930388932e-18
